"","sample","comp","dist"
"1","Int-01","Int-01",0
"2","Int-02","Int-01",34.5620381813034
"3","Int-03","Int-01",30.9185657967959
"4","Int-04","Int-01",27.073752023091
"5","Liv-01","Int-01",37.0549365393086
"6","Liv-02","Int-01",30.4042412432735
"7","Liv-03","Int-01",44.7801362708043
"8","Liv-04","Int-01",28.464573336316
"9","Int-01","Int-02",34.5620381813034
"10","Int-02","Int-02",0
"11","Int-03","Int-02",37.8283354958472
"12","Int-04","Int-02",36.8974430147498
"13","Liv-01","Int-02",44.8366275250959
"14","Liv-02","Int-02",40.1973222650962
"15","Liv-03","Int-02",43.8640606999868
"16","Liv-04","Int-02",38.5007511980518
"17","Int-01","Int-03",30.9185657967959
"18","Int-02","Int-03",37.8283354958472
"19","Int-03","Int-03",0
"20","Int-04","Int-03",30.9422893859455
"21","Liv-01","Int-03",39.4273200556924
"22","Liv-02","Int-03",33.5992443945453
"23","Liv-03","Int-03",45.9615080583436
"24","Liv-04","Int-03",32.2350688513415
"25","Int-01","Int-04",27.073752023091
"26","Int-02","Int-04",36.8974430147498
"27","Int-03","Int-04",30.9422893859455
"28","Int-04","Int-04",0
"29","Liv-01","Int-04",37.0079675218634
"30","Liv-02","Int-04",29.4451908553035
"31","Liv-03","Int-04",45.0255438657422
"32","Liv-04","Int-04",27.9874405590164
"33","Int-01","Liv-01",37.0549365393086
"34","Int-02","Liv-01",44.8366275250959
"35","Int-03","Liv-01",39.4273200556924
"36","Int-04","Liv-01",37.0079675218634
"37","Liv-01","Liv-01",0
"38","Liv-02","Liv-01",36.4394480209203
"39","Liv-03","Liv-01",49.976775275516
"40","Liv-04","Liv-01",34.6931370659269
"41","Int-01","Liv-02",30.4042412432735
"42","Int-02","Liv-02",40.1973222650962
"43","Int-03","Liv-02",33.5992443945453
"44","Int-04","Liv-02",29.4451908553035
"45","Liv-01","Liv-02",36.4394480209203
"46","Liv-02","Liv-02",0
"47","Liv-03","Liv-02",49.3355043380715
"48","Liv-04","Liv-02",29.0598549056478
"49","Int-01","Liv-03",44.7801362708043
"50","Int-02","Liv-03",43.8640606999868
"51","Int-03","Liv-03",45.9615080583436
"52","Int-04","Liv-03",45.0255438657422
"53","Liv-01","Liv-03",49.976775275516
"54","Liv-02","Liv-03",49.3355043380715
"55","Liv-03","Liv-03",0
"56","Liv-04","Liv-03",46.7394797304759
"57","Int-01","Liv-04",28.464573336316
"58","Int-02","Liv-04",38.5007511980518
"59","Int-03","Liv-04",32.2350688513415
"60","Int-04","Liv-04",27.9874405590164
"61","Liv-01","Liv-04",34.6931370659269
"62","Liv-02","Liv-04",29.0598549056478
"63","Liv-03","Liv-04",46.7394797304759
"64","Liv-04","Liv-04",0
